airtime,selected_mcs,txgain,pm_power
1.0,23,48,14.61685733
1.0,0,48,13.13878933
1.0,5,48,13.321388
1.0,9,48,13.47849333
1.0,14,48,13.896408
1.0,18,48,14.11004133
1.0,23,48,14.673
1.0,0,48,13.13752933
1.0,5,48,13.318052
1.0,9,48,13.49319467
1.0,14,48,13.846084
1.0,18,48,14.13995467
1.0,23,48,14.66776667
1.0,0,48,13.08598267
1.0,5,48,13.320364
1.0,9,48,13.53566533
1.0,14,48,13.91694267
1.0,18,48,14.168068
1.0,23,48,14.67618133
1.0,0,43,14.27000267
1.0,5,43,13.313132
1.0,9,43,13.49741867
1.0,14,43,13.87046267
1.0,18,43,14.07569867
1.0,23,43,14.56757867
1.0,0,43,13.15216
1.0,5,43,13.30794933
1.0,9,43,13.463284
1.0,14,43,13.83824667
1.0,18,43,14.07616667
1.0,23,43,14.542828
1.0,0,43,13.10065333
1.0,5,43,13.30437867
1.0,9,43,13.36824667
1.0,14,43,13.82207733
1.0,18,43,14.05689067
1.0,23,43,14.59110667
1.0,0,43,13.08940133
1.0,5,43,13.16534267
1.0,9,43,13.43464533
1.0,14,43,13.850136
1.0,18,43,14.08061067
1.0,23,43,14.58312667
1.0,0,43,13.126956
1.0,5,43,13.19658667
1.0,9,43,13.43218133
1.0,14,43,13.81715467
1.0,18,43,14.00908
1.0,23,43,14.52443467
1.0,0,43,13.09788533
1.0,5,43,13.24517867
1.0,9,43,13.45536267
1.0,14,43,13.67699333
1.0,18,43,14.12053333
1.0,23,43,14.64094533
1.0,0,38,13.123
1.0,5,38,13.20616133
1.0,9,38,13.42296
1.0,14,38,13.81956133
1.0,18,38,14.05627733
1.0,23,38,14.58735733
1.0,0,38,13.08348267
1.0,5,38,13.197172
1.0,9,38,13.46426
1.0,14,38,13.80784667
1.0,18,38,14.07342133
1.0,23,38,14.60863733
1.0,0,38,12.99443333
1.0,5,38,13.25992133
1.0,9,38,13.34230133
1.0,14,38,13.84691333
1.0,18,38,14.076856
1.0,23,38,14.53579067
1.0,0,38,13.09323867
1.0,5,38,13.27111467
1.0,9,38,13.29427467
1.0,14,38,13.84790933
1.0,18,38,14.08250267
1.0,23,38,14.577488
1.0,0,38,13.11097333
1.0,5,38,13.219812
1.0,9,38,13.40050533
1.0,14,38,13.79749867
1.0,18,38,14.09122533
1.0,23,38,14.57876267
1.0,0,38,13.09339733
1.0,5,38,13.13256667
1.0,9,38,13.44893333
1.0,14,38,13.85003067
1.0,18,38,14.06643067
1.0,23,38,14.55666533
1.0,0,37,13.04479333
1.0,5,37,13.14765867
1.0,9,37,13.463608
1.0,14,37,13.84017467
1.0,18,37,15.21256933
1.0,23,37,14.60517333
1.0,0,37,13.09458267
1.0,5,37,13.18687467
1.0,9,37,13.49020133
1.0,14,37,13.696216
1.0,18,37,14.0766
1.0,23,37,14.62895067
1.0,0,37,13.06044267
1.0,5,37,14.22216933
1.0,9,37,13.48084
1.0,14,37,14.82990533
1.0,18,37,14.25520133
1.0,23,37,14.91359733
1.0,0,37,14.12901467
1.0,5,37,13.258464
1.0,9,37,13.364824
1.0,14,37,13.75493067
1.0,18,37,14.049044
1.0,23,37,14.619912
1.0,0,37,13.084064
1.0,5,37,13.13966267
1.0,9,37,14.54026133
1.0,14,37,13.84701467
1.0,18,37,15.04677867
1.0,23,37,15.65456933
1.0,0,37,13.06945867
1.0,5,37,14.28183867
1.0,9,37,13.44241467
1.0,14,37,13.772948
1.0,18,37,13.974104
1.0,23,37,14.590296
1.0,0,36,12.98276933
1.0,5,36,13.51472533
1.0,9,36,14.160944
1.0,14,36,13.85042
1.0,18,36,14.008564
1.0,23,36,14.67876933
1.0,0,36,13.12607867
1.0,5,36,13.17329067
1.0,9,36,13.479784
1.0,14,36,14.97701333
1.0,18,36,14.086796
1.0,23,36,15.72307333
1.0,0,36,13.111748
1.0,5,36,13.19089333
1.0,9,36,13.47009467
1.0,14,36,13.77200933
1.0,18,36,14.14208133
1.0,23,36,14.803936
1.0,0,36,13.041648
