airtime,selected_mcs,mean_used_mcs,mean_snr,pm_power
1.0,23,23.0,33.471999999999994,13.056310000000002
0.9,23,23.0,33.364,13.105499999999996
0.7999999999999998,23,22.998,33.454,12.64807
0.7000000000000002,23,23.0,33.364000000000004,11.71501
0.6000000000000001,23,23.0,33.266,12.58539
0.5,23,22.998,33.163999999999994,12.1378
0.3999999999999999,23,23.0,33.262,11.8181
0.3,23,23.0,34.202,11.09311
0.1999999999999999,23,22.984,33.698,10.5192
0.0999999999999999,23,23.0,29.22495777777777,11.17047
0.01,23,22.356,31.382,10.40738
1.0,23,23.0,33.4,13.20597
0.9,23,23.0,33.379999999999995,12.72297
0.7999999999999998,23,23.0,33.352000000000004,13.171849999999996
0.7000000000000002,23,22.996,33.424,11.785499999999995
0.6000000000000001,23,22.996,33.34,11.89113
0.5,23,23.0,33.308,12.50147
0.3999999999999999,23,23.0,33.214000000000006,11.682000000000002
0.3,23,22.988000000000003,33.15,11.52512
0.1999999999999999,23,22.986,32.802,10.925809999999998
0.0999999999999999,23,23.0,31.794,10.50844
0.01,23,22.678,32.681999999999995,10.531300000000003
1.0,23,23.0,34.446,13.120180000000005
0.9,23,23.0,34.43000000000001,12.988790000000002
0.7999999999999998,23,22.998,34.31799999999999,12.85825
0.7000000000000002,23,22.996,34.348,11.947070000000002
0.6000000000000001,23,23.0,34.361999999999995,12.66332
0.5,23,23.0,34.31400000000001,11.327679999999996
0.3999999999999999,23,23.0,34.296,11.82213
0.3,23,23.0,34.087999999999994,11.7246
0.1999999999999999,23,23.0,33.916000000000004,10.50969
0.0999999999999999,23,22.968000000000004,33.1,11.490480000000002
0.01,23,22.724,32.14,10.66923
1.0,23,23.0,34.424,13.18059
0.9,23,23.0,34.556,13.0105
0.7999999999999998,23,23.0,34.396,12.839660000000002
0.7000000000000002,23,23.0,34.378,12.24153
0.6000000000000001,23,22.996,34.346,11.831270000000002
0.5,23,22.994,34.392,12.25852
0.3999999999999999,23,23.0,34.226,11.804339999999998
0.3,23,23.0,34.042,11.00666
0.1999999999999999,23,23.0,33.876,10.85617
0.0999999999999999,23,23.0,33.268,11.053449999999998
0.01,23,23.0,34.604,10.43092
1.0,23,23.0,33.66,13.34785
0.9,23,23.0,33.618,13.20173
0.7999999999999998,23,23.0,33.626,12.551190000000002
0.7000000000000002,23,23.0,33.558,11.87026
0.6000000000000001,23,23.0,33.538,12.21195
0.5,23,23.0,33.41199999999999,12.18667
0.3999999999999999,23,23.0,33.434,11.561839999999997
0.3,23,23.0,33.126000000000005,11.57371
0.1999999999999999,23,23.0,33.040000000000006,10.581300000000004
0.0999999999999999,23,23.0,32.588,10.91565
0.01,23,23.0,31.844,10.73445
1.0,23,23.0,33.598,13.164280000000003
0.9,23,23.0,33.604,13.15085
0.7999999999999998,23,23.0,33.534,12.538340000000003
0.7000000000000002,23,23.0,33.49,12.23845
0.6000000000000001,23,22.996,33.496,12.274310000000003
0.5,23,23.0,33.462,11.450830000000002
0.3999999999999999,23,23.0,33.382000000000005,11.78043
0.3,23,22.998,33.018,11.418359999999998
0.1999999999999999,23,23.0,33.546,12.23729
0.0999999999999999,23,22.972,32.166000000000004,11.166169999999996
0.01,23,23.0,32.138000000000005,10.739319999999996
1.0,23,23.0,34.35399999999999,12.99505
0.9,23,23.0,34.396,13.282220000000002
0.7999999999999998,23,23.0,34.278,12.332859999999997
0.7000000000000002,23,23.0,34.26,11.87383
0.6000000000000001,23,23.0,34.092,12.666750000000004
0.5,23,23.0,34.212,12.000039999999998
0.3999999999999999,23,23.0,34.104,12.02018
0.3,23,23.0,34.23,11.07293
0.1999999999999999,23,23.0,33.832,10.61609
0.0999999999999999,23,23.0,33.458,10.98476
0.01,23,23.0,32.268,10.917269999999998
1.0,23,23.0,34.58,12.958720000000003
0.9,23,23.0,34.61,13.131750000000002
0.7999999999999998,23,23.0,34.538000000000004,13.032219999999995
0.7000000000000002,23,23.0,34.524,12.1437
0.6000000000000001,23,23.0,34.458,12.021349999999998
0.5,23,23.0,34.602,11.83433
0.3999999999999999,23,23.0,34.37,11.863839999999998
0.3,23,23.0,34.732,11.1731
0.1999999999999999,23,23.0,34.016000000000005,10.65865
0.0999999999999999,23,23.0,33.376,10.84083
0.01,23,23.0,32.34,10.46033
1.0,23,23.0,33.212,13.118149999999998
0.9,23,23.0,33.192,12.942009999999998
0.7999999999999998,23,23.0,33.098000000000006,12.871300000000002
0.7000000000000002,23,23.0,33.218,11.90932
0.6000000000000001,23,23.0,33.129999999999995,12.584130000000002
0.5,23,23.0,33.11,11.44885
0.3999999999999999,23,23.0,33.096,11.89616
0.3,23,22.99,32.794000000000004,11.604899999999995
0.1999999999999999,23,22.986,32.744,10.56038
0.0999999999999999,23,23.0,32.404,11.40582
0.01,23,23.0,31.79,10.62865
1.0,23,23.0,34.190000000000005,13.34184
0.9,23,23.0,34.222,13.018440000000004
0.7999999999999998,23,23.0,34.198,13.1062
0.7000000000000002,23,23.0,34.082,12.02703
0.6000000000000001,23,23.0,34.058,11.782739999999997
0.5,23,23.0,34.014,12.58782
0.3999999999999999,23,23.0,34.12,11.887709999999997
0.3,23,23.0,34.042,11.17687
0.1999999999999999,23,23.0,33.614,10.52052
0.0999999999999999,23,23.0,32.952000000000005,10.59699
0.01,23,23.0,34.407999999999994,10.699540000000002
1.0,23,23.0,33.37,13.043189999999996
0.9,23,22.996,33.318000000000005,13.113359999999998
0.7999999999999998,23,23.0,33.342000000000006,12.67333
0.7000000000000002,23,23.0,33.282000000000004,12.32797
